FacilityID,DNA_Conc,Library_Conc,SampleID,i7Indexes,i5Indexes,SampleType,Filler,CaseNumber,MatchedSample,Bactibilia,Organisms,BacteriaPLUS-BacteriaNEG,LifeStage,Sex,Breed,Patient-Control,FebrileLESSTHANEQUAL103HyperthermicorNormothermic,PCV,PP,PLT,WBC,SEG,BAND,TOTALLYMPH,MONO,EOS,BUN,CREAT,ALT,ALP,GGT,AST,CK,TBILI,ALB,GLOB,CHOL,GLU,ClinicalDiagnosisofCholangitisvsOther,Inflammatorycellsoncytology,CulturePLUSmultiple.single.none,GIPanelPerformed,fPLI,Cobalamin-Folate,Antibioticusagecurrentorwithinpast30d,GBabnormalitiesPLUSorNEG,Wallthickening,Wallhyperechogenicity,GBSludge,CBDDilation,CBDWallThickening,Choleliths,Mucosalhyperplasia,PancreasabnormalitiesPLUSorNEG,Hypoechoicparenchyma,Heterogeneousparenchyma,Hyperechoicmesentery,Enlarged,Nodules,IntestinalabnormalitiesPLUSorNEG,Lossofwalllayering,Thickenedlayers,Abnormallayer,Dilation,LiverabnormalitiesPLUSorNEG,Hypoechoic,Hyperechoic,Gallbladder-Liverabnormalities,LymphnodeabnormalitiesYorN,Abnormallymphnodes,Intestinal-Nodalabnormalities,PeritonealEffusion,ElevatedLEActivityALT.ALP.both,Cholestaticvs.Hepatocellularvs.Mixed,InflammationPLUS-InflammationNEG,Inflamm-Bacteria,ELE-Bacteria,GBAUS-Bacteria,Inflamm-ELE-Bacteria,Inflamm-GBAUS-Bacteria,ELE-GBAUS-Bacteria,Inflamm-ELE-GBAUS-Bacteria,Inflamm-ELE,Inflamm-GBAUS,ELE-GBAUS,Inflamm-ELE-GBAUS,InflammPLUSPancAUS,fPLiPLUSPancAUS,InflammPLUSfPLiPLUSPancAUS,LowB12-FolatePLUSITAUS,LowB12-FolatePLUSITAUSPLUSNodeAUS,HistopathMDPNOducts
1,ND,3.138537839,716-513,716,513,Positive,NA,192508,NA,Nobactibilia,Noculturedorganisms,BacteriaNEG,Junior,MC,DSH,Patient,Normothermic,Anemic,NormalPP,Clumps,NormalWBC,NormalSEG,BandNeutrophilia,NormalLYMPH,NormalMONO,Eosinopenia,NormalBUN,NormalCREAT,ElevatedALT,NormalALP,NormalGGT,NormalAST,NormalCK,Hyperbilirubinemia,NormalALB,Hyperglobulinemia,NormalCHOL,Normoglycemia,Cholangitis,Noinflammatorycells,None,NoGIPanel,Notperformed,Notperformed,Noantibiotics,GBAUSPLUS,N,N,Y,N,N,N,N,PancAUSNEG,N,N,N,N,N,ITAUSPLUS,N,Y,muscularis,N,HepAUSNEG,N,N,GBAUSPLUS-HepAUSNEG,NodeAUSNEG,NA,ITAUSPLUS-NodeAUSNEG,N,ElevatedLEActivity,Hepatocellular,InflammPLUS,InflammPLUS-BacteriaNEG,ELEPLUS-BacteriaNEG,GBAUSPLUS-BacteriaNEG,InflammPLUS-ELEPLUS-BacteriaNEG,InflammPLUS-GBAUSPLUS-BacteriaNEG,ELEPLUS-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELEPLUS-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELEPLUS,InflammPLUS-GBAUSPLUS,ELEPLUS-GBAUSPLUS,InflammPLUS-ELEPLUS-GBAUSPLUS,InflammPLUS-PancAUSNEG,NA,NA,NA,NA,NA
2,ND,4.297750291,716-515,716,515,Positive,NA,200683,NA,Nobactibilia,Noculturedorganisms,BacteriaNEG,Mature,FS,Siamese,Patient,NA,NormalPCV,NormalPP,Clumps,NormalWBC,SegmentedNeutrophilia,NormalBAND,NormalLYMPH,NormalMONO,NormalEOS,NormalBUN,NormalCREAT,NormalALT,NormalALP,NormalGGT,NormalAST,NormalCK,NormalTBILI,NormalALB,NormalGLOB,NormalCHOL,Normoglycemia,OtherDiagnosis,Noinflammatorycells,None,GIPanel,Normal,Normal,Noantibiotics,GBAUSPLUS,N,Y,Y,N,N,N,N,PancAUSNEG,N,N,N,N,N,ITAUSPLUS,N,Y,muscularis,N,HepAUSNEG,N,N,GBAUSPLUS-HepAUSNEG,NodeAUSPLUS,gastric.hepatic.pancreaticoduodenal.colic,ITAUSPLUS-NodeAUSPLUS,N,NormalLE,Normal,InflammPLUS,InflammPLUS-BacteriaNEG,ELENEG-BacteriaNEG,GBAUSPLUS-BacteriaNEG,InflammPLUS-ELENEG-BacteriaNEG,InflammPLUS-GBAUSPLUS-BacteriaNEG,ELENEG-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELENEG-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELENEG,InflammPLUS-GBAUSPLUS,ELENEG-GBAUSPLUS,InflammPLUS-ELENEG-GBAUSPLUS,InflammPLUS-PancAUSNEG,fPLiNEG-PancAUSNEG,InflammPLUS-fPLiNEG-PancAUSNEG,LowB12-FolateNEG-ITAUSPLUS,LowB12-FolateNEG-ITAUSPLUS-NodeAUSPLUS,NA
3,67.87684548,50.9754713,716-516,716,516,Positive,NA,201243,NA,Bactibilia,E.coli,BacteriaPLUS,Junior,MC,Snowshoe,Patient,Hyperthermic,NormalPCV,NormalPP,Clumps,NormalWBC,NormalSEG,BandNeutrophilia,Lymphopenia,NormalMONO,NormalEOS,NormalBUN,NormalCREAT,ElevatedALT,NormalALP,ElevatedGGT,ElevatedAST,HighCK,Hyperbilirubinemia,NormalALB,NormalGLOB,NormalCHOL,Normoglycemia,Cholangitis,Noinflammatorycells,Single,NoGIPanel,Notperformed,Notperformed,Noantibiotics,GBAUSPLUS,Y,Y,Y,Y,Y,N,N,PancAUSPLUS,Y,N,Y,N,N,ITAUSPLUS,N,Y,muscularis,N,HepAUSNEG,N,N,GBAUSPLUS-HepAUSNEG,NodeAUSNEG,NA,ITAUSPLUS-NodeAUSNEG,N,ElevatedLEActivity,Hepatocellular,InflammPLUS,InflammPLUS-BacteriaPLUS,ELEPLUS-BacteriaPLUS,GBAUSPLUS-BacteriaPLUS,InflammPLUS-ELEPLUS-BacteriaPLUS,InflammPLUS-GBAUSPLUS-BacteriaPLUS,ELEPLUS-GBAUSPLUS-BacteriaPLUS,InflammPLUS-ELEPLUS-GBAUSPLUS-BacteriaPLUS,InflammPLUS-ELEPLUS,InflammPLUS-GBAUSPLUS,ELEPLUS-GBAUSPLUS,InflammPLUS-ELEPLUS-GBAUSPLUS,InflammPLUS-PancAUSNEG,NA,NA,NA,NA,NA
4,ND,1.002360252,716-517,716,517,Positive,NA,201951,NA,Nobactibilia,Noculturedorganisms,BacteriaNEG,Mature,FS,DSH,Patient,Normothermic,Anemic,NormalPP,NormalPLT,Leukocytosis,SegmentedNeutrophilia,BandNeutrophilia,NormalLYMPH,NormalMONO,NormalEOS,NormalBUN,NormalCREAT,NormalALT,NormalALP,NormalGGT,ElevatedAST,HighCK,NormalTBILI,Hypoalbuminemia,NormalGLOB,NormalCHOL,Normoglycemia,Cholangitis,Noinflammatorycells,None,GIPanel,Normal,Low,Noantibiotics,GBAUSPLUS,N,N,Y,N,N,N,N,PancAUSNEG,N,N,N,N,N,ITAUSPLUS,N,Y,muscularis,N,HepAUSNEG,N,N,GBAUSPLUS-HepAUSNEG,NodeAUSPLUS,jejunal,ITAUSPLUS-NodeAUSPLUS,Y,NormalLE,Normal,InflammPLUS,InflammPLUS-BacteriaNEG,ELENEG-BacteriaNEG,GBAUSPLUS-BacteriaNEG,InflammPLUS-ELENEG-BacteriaNEG,InflammPLUS-GBAUSPLUS-BacteriaNEG,ELENEG-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELENEG-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELENEG,InflammPLUS-GBAUSPLUS,ELENEG-GBAUSPLUS,InflammPLUS-ELENEG-GBAUSPLUS,InflammPLUS-PancAUSNEG,fPLiNEG-PancAUSNEG,InflammPLUS-fPLiNEG-PancAUSNEG,LowB12-FolatePLUS-ITAUSPLUS,LowB12-FolatePLUS-ITAUSPLUS-NodeAUSPLUS,NA
5,0.191772185,12.21505184,716-518,716,518,Positive,NA,147063,NA,NA,Noculturedorganisms,BacteriaNEG,Mature,FS,DSH,Patient,Normothermic,NormalPCV,NormalPP,Thrombocytosis,NormalWBC,SegmentedNeutrophilia,NormalBAND,NormalLYMPH,Monocytosis,NormalEOS,NormalBUN,NormalCREAT,ElevatedALT,ElevatedALP,NormalGGT,ElevatedAST,NormalCK,Hyperbilirubinemia,Hypoalbuminemia,Hyperglobulinemia,NormalCHOL,Normoglycemia,OtherDiagnosis,Nocytologyperformed,None,NoGIPanel,Notperformed,Notperformed,Noantibiotics,GBAUSPLUS,N,N,Y,N,N,N,N,PancAUSPLUS,N,N,N,N,Y,ITAUSNEG,N,N,none,N,HepAUSNEG,N,N,GBAUSPLUS-HepAUSNEG,NodeAUSPLUS,pancreaticoduodenal,ITAUSNEG-NodeAUSPLUS,N,ElevatedLEActivity,Cholestatic,InflammPLUS,InflammPLUS-BacteriaNEG,ELEPLUS-BacteriaNEG,GBAUSPLUS-BacteriaNEG,InflammPLUS-ELEPLUS-BacteriaNEG,InflammPLUS-GBAUSPLUS-BacteriaNEG,ELEPLUS-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELEPLUS-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELEPLUS,InflammPLUS-GBAUSPLUS,ELEPLUS-GBAUSPLUS,InflammPLUS-ELEPLUS-GBAUSPLUS,InflammPLUS-PancAUSPLUS,NA,NA,NA,NA,NA
6,106.2785688,58.54172269,716-520,716,520,Positive,NA,204315,NA,Bactibilia,E.coli.Streptococcus,BacteriaPLUS,Senior,MC,DSH,Patient,Hyperthermic,Anemic,NormalPP,NormalPLT,NormalWBC,SegmentedNeutrophilia,BandNeutrophilia,NormalLYMPH,NormalMONO,NormalEOS,NormalBUN,HighCREAT,ElevatedALT,LowALP,NormalGGT,ElevatedAST,HighCK,Hyperbilirubinemia,Hypoalbuminemia,NormalGLOB,NormalCHOL,Normoglycemia,Cholangitis,Inflammatorycells,Multiple,NoGIPanel,Notperformed,Notperformed,Noantibiotics,GBAUSPLUS,Y,Y,Y,Y,N,Y,N,PancAUSNEG,N,N,N,N,N,ITAUSNEG,N,N,none,N,HepAUSNEG,N,N,GBAUSPLUS-HepAUSNEG,NodeAUSNEG,NA,ITAUSNEG-NodeAUSNEG,N,ElevatedLEActivity,Hepatocellular,InflammPLUS,InflammPLUS-BacteriaPLUS,ELEPLUS-BacteriaPLUS,GBAUSPLUS-BacteriaPLUS,InflammPLUS-ELEPLUS-BacteriaPLUS,InflammPLUS-GBAUSPLUS-BacteriaPLUS,ELEPLUS-GBAUSPLUS-BacteriaPLUS,InflammPLUS-ELEPLUS-GBAUSPLUS-BacteriaPLUS,InflammPLUS-ELEPLUS,InflammPLUS-GBAUSPLUS,ELEPLUS-GBAUSPLUS,InflammPLUS-ELEPLUS-GBAUSPLUS,InflammPLUS-PancAUSNEG,NA,NA,NA,NA,NA
7,95.65491515,64.59173613,716-521,716,521,Positive,NA,206066,NA,Bactibilia,E.coli,BacteriaPLUS,Mature,FS,DSH,Patient,Normothermic,NormalPCV,NormalPP,NormalPLT,Leukocytosis,SegmentedNeutrophilia,NormalBAND,Lymphocytosis,NormalMONO,Eosinophilia,NormalBUN,NormalCREAT,ElevatedALT,ElevatedALP,ElevatedGGT,ElevatedAST,NormalCK,Hyperbilirubinemia,NormalALB,NormalGLOB,NormalCHOL,Normoglycemia,Cholangitis,Inflammatorycells,Single,NoGIPanel,Notperformed,Notperformed,Noantibiotics,GBAUSPLUS,N,N,Y,Y,Y,N,N,PancAUSNEG,N,N,N,N,N,ITAUSNEG,N,N,none,N,HepAUSNEG,N,N,GBAUSPLUS-HepAUSNEG,NodeAUSNEG,NA,ITAUSNEG-NodeAUSNEG,N,ElevatedLEActivity,Cholestatic,InflammPLUS,InflammPLUS-BacteriaPLUS,ELEPLUS-BacteriaNEG,GBAUSPLUS-BacteriaPLUS,InflammPLUS-ELEPLUS-BacteriaPLUS,InflammPLUS-GBAUSPLUS-BacteriaPLUS,ELEPLUS-GBAUSPLUS-BacteriaPLUS,InflammPLUS-ELEPLUS-GBAUSPLUS-BacteriaPLUS,InflammPLUS-ELEPLUS,InflammPLUS-GBAUSPLUS,ELEPLUS-GBAUSPLUS,InflammPLUS-ELEPLUS-GBAUSPLUS,InflammPLUS-PancAUSNEG,NA,NA,NA,NA,NA
8,0.010508065,18.53843626,716-522,716,522,Positive,NA,207367,NA,Nobactibilia,Noculturedorganisms,BacteriaNEG,Senior,FS,DLH,Patient,Normothermic,Anemic,NormalPP,NormalPLT,Leukocytosis,SegmentedNeutrophilia,BandNeutrophilia,NormalLYMPH,Monocytosis,NormalEOS,NormalBUN,NormalCREAT,ElevatedALT,ElevatedALP,NormalGGT,ElevatedAST,NormalCK,NormalTBILI,NormalALB,NormalGLOB,NormalCHOL,Hyperglycemia,Cholangitis,Inflammatorycells,None,GIPanel,Normal,Low,Current-previousantibioticusage,GBAUSPLUS,N,N,Y,N,Y,N,N,PancAUSPLUS,N,Y,N,Y,N,ITAUSNEG,N,N,none,N,HepAUSPLUS,N,Y,GBAUSPLUS-HepAUSPLUS,NodeAUSNEG,NA,ITAUSNEG-NodeAUSNEG,Y,ElevatedLEActivity,Mixed,InflammPLUS,InflammPLUS-BacteriaNEG,ELEPLUS-BacteriaNEG,GBAUSPLUS-BacteriaNEG,InflammPLUS-ELEPLUS-BacteriaNEG,InflammPLUS-GBAUSPLUS-BacteriaNEG,ELEPLUS-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELEPLUS-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELEPLUS,InflammPLUS-GBAUSPLUS,ELEPLUS-GBAUSPLUS,InflammPLUS-ELEPLUS-GBAUSPLUS,InflammPLUS-PancAUSPLUS,fPLiNEG-PancAUSNEG,InflammPLUS-fPLiNEG-PancAUSNEG,LowB12-FolatePLUS-ITAUSNEG,LowB12-FolatePLUS-ITAUSNEG-NodeAUSNEG,NA
9,0.002627016,7.246571659,718-513,718,513,Positive,NA,210187,NA,Nobactibilia,Noculturedorganisms,BacteriaNEG,Junior,MC,DSH,Patient,Normothermic,Anemic,LowPP,NormalPLT,Leukocytosis,SegmentedNeutrophilia,BandNeutrophilia,NormalLYMPH,Monocytosis,NormalEOS,HighBUN,NormalCREAT,NormalALT,NormalALP,NormalGGT,ElevatedAST,HighCK,Hyperbilirubinemia,Hypoalbuminemia,Hypoglobulinemia,Hypocholesterolemia,Hypoglycemia,OtherDiagnosis,Noinflammatorycells,None,NoGIPanel,Notperformed,Notperformed,Noantibiotics,GBAUSPLUS,N,N,Y,Y,N,N,N,PancAUSPLUS,Y,N,N,N,N,ITAUSNEG,N,N,hyperechoicmucosa,N,HepAUSPLUS,N,Y,GBAUSPLUS-HepAUSPLUS,NodeAUSPLUS,jejunal,ITAUSNEG-NodeAUSPLUS,N,NormalLE,Normal,InflammPLUS,InflammPLUS-BacteriaNEG,ELENEG-BacteriaNEG,GBAUSPLUS-BacteriaNEG,InflammPLUS-ELENEG-BacteriaNEG,InflammPLUS-GBAUSPLUS-BacteriaNEG,ELENEG-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELENEG-GBAUSPLUS-BacteriaNEG,InflammPLUS-ELENEG,InflammPLUS-GBAUSPLUS,ELENEG-GBAUSPLUS,InflammPLUS-ELENEG-GBAUSPLUS,InflammPLUS-PancAUSPLUS,NA,NA,NA,NA,NA
10,104.4606736,59.62026829,718-515,718,515,Positive,NA,181811,NA,Bactibilia,E.coli,BacteriaPLUS,Senior,MC,DLH,Patient,Hyperthermic,NormalPCV,NormalPP,NormalPLT,Leukocytosis,SegmentedNeutrophilia,BandNeutrophilia,NormalLYMPH,NormalMONO,NormalEOS,HighBUN,NormalCREAT,ElevatedALT,NormalALP,NormalGGT,ElevatedAST,HighCK,Hyperbilirubinemia,Hypoalbuminemia,Hypoglobulinemia,NormalCHOL,Hyperglycemia,Cholangitis,Inflammatorycells,Single,NoGIPanel,Notperformed,Notperformed,Noantibiotics,GBAUSPLUS,N,N,N,Y,N,Y,N,PancAUSPLUS,Y,N,Y,Y,N,ITAUSNEG,N,N,none,N,HepAUSNEG,N,N,GBAUSPLUS-HepAUSNEG,NodeAUSNEG,NA,ITAUSNEG-NodeAUSNEG,N,ElevatedLEActivity,Hepatocellular,InflammPLUS,InflammPLUS-BacteriaPLUS,ELEPLUS-BacteriaPLUS,GBAUSPLUS-BacteriaPLUS,InflammPLUS-ELEPLUS-BacteriaPLUS,InflammPLUS-GBAUSPLUS-BacteriaPLUS,ELEPLUS-GBAUSPLUS-BacteriaPLUS,InflammPLUS-ELEPLUS-GBAUSPLUS-BacteriaPLUS,InflammPLUS-ELEPLUS,InflammPLUS-GBAUSPLUS,ELEPLUS-GBAUSPLUS,InflammPLUS-ELEPLUS-GBAUSPLUS,InflammPLUS-PancAUSPLUS,NA,NA,NA,NA,NA
